daten,ym,llp_bk_shock
01apr1968,1968m4,.0039704
,1968m5,-4.27e-10
,1968m6,-1.76e-10
01jul1968,1968m7,.0016392
,1968m8,-1.01e-10
,1968m9,3.09e-10
01oct1968,1968m10,-.0018857
,1968m11,3.88e-10
,1968m12,3.60e-11
01jan1969,1969m1,-.0054835
,1969m2,-1.70e-10
,1969m3,2.10e-10
01apr1969,1969m4,-.0083213
,1969m5,1.00e-10
,1969m6,-4.14e-11
01jul1969,1969m7,-.0089011
,1969m8,-2.30e-10
,1969m9,1.80e-10
01oct1969,1969m10,-.0067428
,1969m11,4.97e-10
,1969m12,3.58e-10
01jan1970,1970m1,-.003018
,1970m2,-4.65e-10
,1970m3,-5.71e-10
01apr1970,1970m4,.0006867
,1970m5,1.49e-11
,1970m6,-4.76e-10
01jul1970,1970m7,.0036489
,1970m8,-3.62e-12
,1970m9,-2.47e-10
01oct1970,1970m10,.0050189
,1970m11,-1.27e-10
,1970m12,1.98e-11
01jan1971,1971m1,.0042198
,1971m2,-5.73e-11
,1971m3,3.86e-11
01apr1971,1971m4,.0014883
,1971m5,-5.78e-13
,1971m6,-2.40e-12
01jul1971,1971m7,-.0009425
,1971m8,3.29e-11
,1971m9,1.25e-11
01oct1971,1971m10,-.0007289
,1971m11,-3.96e-11
,1971m12,-4.08e-11
01jan1972,1972m1,.0022658
,1972m2,2.06e-11
,1972m3,2.77e-11
01apr1972,1972m4,.0063478
,1972m5,2.24e-10
,1972m6,-1.13e-10
01jul1972,1972m7,.0093228
,1972m8,-3.03e-10
,1972m9,-7.82e-11
01oct1972,1972m10,.0094649
,1972m11,-1.27e-10
,1972m12,5.27e-10
01jan1973,1973m1,.0063439
,1973m2,-5.85e-10
,1973m3,-2.37e-10
01apr1973,1973m4,.0004738
,1973m5,-3.20e-10
,1973m6,-6.37e-10
01jul1973,1973m7,-.0061877
,1973m8,4.37e-10
,1973m9,7.47e-10
01oct1973,1973m10,-.011097
,1973m11,1.55e-10
,1973m12,-1.35e-10
01jan1974,1974m1,-.0122923
,1974m2,-1.93e-10
,1974m3,2.38e-11
01apr1974,1974m4,-.0105413
,1974m5,6.89e-10
,1974m6,6.82e-10
01jul1974,1974m7,-.0067397
,1974m8,-7.69e-10
,1974m9,-1.78e-10
01oct1974,1974m10,-.0020105
,1974m11,8.92e-10
,1974m12,-8.57e-10
01jan1975,1975m1,.0029184
,1975m2,2.53e-10
,1975m3,-7.20e-10
01apr1975,1975m4,.0058724
,1975m5,-2.80e-10
,1975m6,-1.10e-10
01jul1975,1975m7,.0058765
,1975m8,2.92e-11
,1975m9,2.48e-11
01oct1975,1975m10,.0045227
,1975m11,1.54e-11
,1975m12,2.55e-11
01jan1976,1976m1,.0032913
,1976m2,8.10e-11
,1976m3,-1.28e-10
01apr1976,1976m4,.0028492
,1976m5,2.26e-10
,1976m6,8.88e-11
01jul1976,1976m7,.0030028
,1976m8,2.35e-10
,1976m9,2.21e-10
01oct1976,1976m10,.0029204
,1976m11,3.71e-10
,1976m12,3.67e-11
01jan1977,1977m1,.0015908
,1977m2,-4.08e-10
,1977m3,-2.49e-10
01apr1977,1977m4,-.0006049
,1977m5,1.33e-10
,1977m6,4.16e-10
01jul1977,1977m7,-.0018176
,1977m8,1.74e-10
,1977m9,7.17e-11
01oct1977,1977m10,-.0010426
,1977m11,1.45e-10
,1977m12,-2.16e-10
01jan1978,1978m1,.0008372
,1978m2,1.26e-10
,1978m3,-1.66e-10
01apr1978,1978m4,.002527
,1978m5,3.70e-10
,1978m6,-2.35e-10
01jul1978,1978m7,.003028
,1978m8,-1.41e-10
,1978m9,1.69e-10
01oct1978,1978m10,.0015597
,1978m11,-1.04e-10
,1978m12,-4.10e-10
01jan1979,1979m1,-.0007721
,1979m2,4.62e-10
,1979m3,2.45e-10
01apr1979,1979m4,-.003292
,1979m5,-1.78e-10
,1979m6,1.10e-10
01jul1979,1979m7,-.0050165
,1979m8,-8.17e-12
,1979m9,4.18e-12
01oct1979,1979m10,-.0050308
,1979m11,8.26e-11
,1979m12,-1.91e-10
01jan1980,1980m1,-.0033647
,1980m2,2.05e-10
,1980m3,1.43e-10
01apr1980,1980m4,-.0008372
,1980m5,-6.02e-11
,1980m6,-2.59e-11
01jul1980,1980m7,.0017013
,1980m8,1.12e-10
,1980m9,-1.13e-10
01oct1980,1980m10,.0035069
,1980m11,-1.80e-12
,1980m12,2.39e-11
01jan1981,1981m1,.0037191
,1981m2,-4.56e-11
,1981m3,4.11e-11
01apr1981,1981m4,.0012869
,1981m5,-1.14e-10
,1981m6,4.10e-11
01jul1981,1981m7,-.003778
,1981m8,-2.77e-11
,1981m9,-1.70e-11
01oct1981,1981m10,-.0086623
,1981m11,3.42e-10
,1981m12,1.53e-10
01jan1982,1982m1,-.0103067
,1982m2,6.14e-10
,1982m3,8.02e-12
01apr1982,1982m4,-.0072538
,1982m5,-6.09e-10
,1982m6,-3.06e-10
01jul1982,1982m7,-.0010847
,1982m8,2.44e-10
,1982m9,-7.00e-11
01oct1982,1982m10,.0048534
,1982m11,-8.36e-10
,1982m12,1.62e-10
01jan1983,1983m1,.0080117
,1983m2,-1.16e-10
,1983m3,-1.60e-10
01apr1983,1983m4,.0074493
,1983m5,-4.23e-14
,1983m6,9.97e-12
01jul1983,1983m7,.0047827
,1983m8,-2.12e-10
,1983m9,-1.77e-10
01oct1983,1983m10,.0018616
,1983m11,-5.36e-11
,1983m12,1.29e-11
01jan1984,1984m1,-.0001539
,1984m2,1.63e-10
,1984m3,-2.06e-10
01apr1984,1984m4,-.0012614
,1984m5,2.30e-10
,1984m6,1.25e-10
01jul1984,1984m7,-.0016394
,1984m8,-1.73e-11
,1984m9,8.39e-11
01oct1984,1984m10,-.0019235
,1984m11,3.17e-12
,1984m12,-2.32e-12
01jan1985,1985m1,-.0017853
,1985m2,-4.48e-12
,1985m3,2.94e-11
01apr1985,1985m4,-.0003869
,1985m5,-5.67e-11
,1985m6,2.01e-11
01jul1985,1985m7,.002116
,1985m8,1.13e-11
,1985m9,-1.06e-11
01oct1985,1985m10,.0045692
,1985m11,1.37e-10
,1985m12,1.06e-10
01jan1986,1986m1,.0052591
,1986m2,-2.67e-10
,1986m3,4.25e-10
01apr1986,1986m4,.0032579
,1986m5,2.08e-10
,1986m6,2.38e-10
01jul1986,1986m7,-.0006644
,1986m8,1.73e-10
,1986m9,-2.79e-10
01oct1986,1986m10,-.0038847
,1986m11,-1.41e-10
,1986m12,1.98e-10
01jan1987,1987m1,-.0044893
,1987m2,-1.34e-11
,1987m3,1.45e-11
01apr1987,1987m4,-.0026552
,1987m5,9.52e-12
,1987m6,-4.87e-12
01jul1987,1987m7,.0001524
,1987m8,2.94e-12
,1987m9,5.27e-12
01oct1987,1987m10,.0022776
,1987m11,-1.28e-11
,1987m12,-2.54e-11
01jan1988,1988m1,.0027832
,1988m2,1.07e-10
,1988m3,8.59e-11
01apr1988,1988m4,.0011735
,1988m5,2.06e-11
,1988m6,1.71e-11
01jul1988,1988m7,-.0016397
,1988m8,1.02e-13
,1988m9,-5.35e-11
01oct1988,1988m10,-.0037327
,1988m11,5.41e-11
,1988m12,-2.94e-11
01jan1989,1989m1,-.0036732
,1989m2,9.79e-11
,1989m3,2.85e-11
01apr1989,1989m4,-.0019057
,1989m5,5.74e-11
,1989m6,-2.15e-12
01jul1989,1989m7,.000364
,1989m8,-1.86e-10
,1989m9,-7.39e-11
01oct1989,1989m10,.001496
,1989m11,-7.31e-11
,1989m12,3.02e-11
01jan1990,1990m1,.0008103
,1990m2,-1.16e-10
,1990m3,-3.54e-11
01apr1990,1990m4,-.0010899
,1990m5,-2.91e-11
,1990m6,1.03e-10
01jul1990,1990m7,-.0033804
,1990m8,2.19e-11
,1990m9,-1.16e-10
01oct1990,1990m10,-.0046515
,1990m11,-3.01e-10
,1990m12,-1.93e-10
01jan1991,1991m1,-.0037323
,1991m2,-2.75e-10
,1991m3,-3.75e-11
01apr1991,1991m4,-.0002788
,1991m5,1.66e-10
,1991m6,-2.68e-10
01jul1991,1991m7,.0047418
,1991m8,1.37e-10
,1991m9,1.06e-10
01oct1991,1991m10,.0090642
,1991m11,2.65e-11
,1991m12,-1.13e-10
01jan1992,1992m1,.0102749
